1.286948 0.000000  -0.209525  -0.165661  -0.107511  -0.090667  3.601980  5.003865  5.018117  5.214556  5.246224  5.300066
1.298848 0.000000  -0.221525  -0.176627  -0.102830  -0.085796  3.605683  4.958403  4.973472  5.268330  5.298719  5.340918
1.310748 0.000000  -0.227430  -0.188545  -0.099021  -0.082068  3.608981  4.917744  4.933493  5.322597  5.351117  5.381827
1.322648 0.000000  -0.224627  -0.200599  -0.096109  -0.079456  3.611841  4.882377  4.898714  5.376706  5.401944  5.423503
1.334548 0.000000  -0.222069  -0.209470  -0.094041  -0.077796  3.614230  4.852751  4.869588  5.428883  5.448499  5.468597
1.346448 0.000000  -0.226613  -0.208899  -0.092653  -0.076953  3.616122  4.829262  4.846504  5.471308  5.475174  5.494652
1.358348 0.000000  -0.227348  -0.205851  -0.091810  -0.076626  3.617490  4.812236  4.829777  5.467485  5.503795  5.531474
1.370248 0.000000  -0.224844  -0.203865  -0.091375  -0.076599  3.618317  4.801919  4.819644  5.463819  5.523648  5.528380
1.382148 0.000000  -0.223974  -0.203212  -0.091238  -0.076599  3.618595  4.798463  4.816250  5.462589  5.527319  5.530810
1.382148 0.000000  -0.224844  -0.203865  -0.091375  -0.076599  3.618317  4.801919  4.819644  5.463819  5.523648  5.528380
1.394048 0.000000  -0.227348  -0.205851  -0.091810  -0.076626  3.617490  4.812236  4.829777  5.467485  5.503795  5.531474
1.405948 0.000000  -0.226613  -0.208899  -0.092653  -0.076953  3.616122  4.829262  4.846504  5.471308  5.475174  5.494652
1.417848 0.000000  -0.222069  -0.209470  -0.094041  -0.077796  3.614230  4.852751  4.869588  5.428883  5.448499  5.468597
1.429748 0.000000  -0.224627  -0.200599  -0.096109  -0.079456  3.611841  4.882377  4.898714  5.376706  5.401944  5.423503
1.441648 0.000000  -0.227430  -0.188545  -0.099021  -0.082068  3.608981  4.917744  4.933493  5.322597  5.351117  5.381827
1.453548 0.000000  -0.221525  -0.176627  -0.102830  -0.085796  3.605683  4.958403  4.973472  5.268330  5.298719  5.340918
1.465448 0.000000  -0.209525  -0.165661  -0.107511  -0.090667  3.601980  5.003865  5.018117  5.214556  5.246224  5.300066
1.477348 0.000000  -0.194450  -0.155973  -0.112898  -0.096681  3.597915  5.053592  5.066686  5.161693  5.194414  5.259388
1.489248 0.000000  -0.173769  -0.147647  -0.118477  -0.103810  3.593531  5.106947  5.108944  5.117097  5.146166  5.219195
1.501148 0.000000  -0.152572  -0.140654  -0.122504  -0.111973  3.588883  5.059619  5.090960  5.163159  5.173758  5.181557
1.513048 0.000000  -0.139293  -0.133878  -0.121062  -0.118014  3.584029  5.011184  5.042884  5.140982  5.213059  5.219241
